source_url,target_url,anchor_text,insertion_context,reason,confidence,issue_type,status
https://wiserank.co.uk/google-gemini-and-seo/,https://wiserank.co.uk/best-content-formats-for-aeo-success/,content,ff-Page SEO On-Page SEO Local SEO International SEO Answer Engine Optimization (AEO) WordPress SEO Agency eCommerce SEO Career About Contact Get Free SEO Audit Toggle Menu Updates AI and Search: How Google Gemini is Changing SEO in 2026 By,"Target is orphan; topical overlap on aeo, best, content, faqs, formats, lists; source does not already link to target.",77,orphan,pending
https://wiserank.co.uk/what-is-on-page-seo-complete-guide-to-website-boost/,https://wiserank.co.uk/best-content-formats-for-aeo-success/,content,ff-Page SEO On-Page SEO Local SEO International SEO Answer Engine Optimization (AEO) WordPress SEO Agency eCommerce SEO Career About Contact Get Free SEO Audit Toggle Menu Updates What Is On-Page SEO? Complete Guide to Website Optimization,"Target is orphan; topical overlap on aeo, best, content, menupreviouscontinuecontinuecontinuecontinuecontinuecontinuecontinuelinkedinfacebooktwitterinstagramexpandexpandexpand; source does not already link to target.",77,orphan,pending
https://wiserank.co.uk/best-content-formats-for-aeo-success/,https://wiserank.co.uk/google-gemini-and-seo/,Gemini,"ical SEO for WordPress Sites: Step-by-Step Guide Continue Updates How ChatGPT & Gemini Are Reshaping Content Creation By Wiserank November 22, 2025 November 22, 2025 Artificial intelligence is changing how we write, research, and share idea","Target is orphan; topical overlap on gemini, google, menupreviouscontinuecontinuecontinuecontinuecontinuecontinuecontinuelinkedinfacebooktwitterinstagramexpandexpandexpand, search, seo; source does not already link to target.",77,orphan,pending
https://wiserank.co.uk/what-is-on-page-seo-complete-guide-to-website-boost/,https://wiserank.co.uk/google-gemini-and-seo/,google,"atitude"":""55.3781\u00b0 N"",""longitude"":"" 3.4360\u00b0 W""},""hasMap"":""https://www.google.com/maps/search/?api=1&amp;query=55.3781\u00b0 N, 3.4360\u00b0 W""},{""@type"":""Organization"",""@id"":""https://wiserank.co.uk/#organization"",""name"":""WiseRank""","Target is orphan; topical overlap on google, menupreviouscontinuecontinuecontinuecontinuecontinuecontinuecontinuelinkedinfacebooktwitterinstagramexpandexpandexpand, search, seo; source does not already link to target.",77,orphan,pending
https://wiserank.co.uk/best-content-formats-for-aeo-success/,https://wiserank.co.uk/what-is-on-page-seo-complete-guide-to-website-boost/,WebSite,"list of steps.” “This is a comparison table.” These visual and structural cues guide answer engines to the most relevant section and improve your chances of showing up in featured snippets, People Also Ask (PAA) boxes, and AI summaries. Ma","Target is orphan; topical overlap on guide, menupreviouscontinuecontinuecontinuecontinuecontinuecontinuecontinuelinkedinfacebooktwitterinstagramexpandexpandexpand, page, seo, website, what; source does not already link to target.",77,orphan,pending
https://wiserank.co.uk/blog/,https://wiserank.co.uk/what-is-on-page-seo-complete-guide-to-website-boost/,Complete,"Stores: Shopify, WooCommerce Continue Updates SEO for Solicitors in Sheffield — Complete Lead Generation Blueprint By Wiserank February 9, 2026 February 11, 2026 Introduction For solicitors in Sheffield, attracting new clients online is mor","Target is orphan; topical overlap on complete, page, seo, website, what; source does not already link to target.",77,orphan,pending
https://wiserank.co.uk/google-gemini-and-seo/,https://wiserank.co.uk/what-is-on-page-seo-complete-guide-to-website-boost/,complete,pic coverage and semantic relationships . Websites that organize content around complete topics and provide reliable information are more likely to appear in AI Overviews and Gemini-generated summaries . How Google Gemini is Reshaping SEO R,"Target is orphan; topical overlap on complete, guide, menupreviouscontinuecontinuecontinuecontinuecontinuecontinuecontinuelinkedinfacebooktwitterinstagramexpandexpandexpand, page, seo, website; source does not already link to target.",77,orphan,pending
https://wiserank.co.uk/blog/,https://wiserank.co.uk/google-gemini-and-seo/,google,"atitude"":""55.3781\u00b0 N"",""longitude"":"" 3.4360\u00b0 W""},""hasMap"":""https://www.google.com/maps/search/?api=1&amp;query=55.3781\u00b0 N, 3.4360\u00b0 W""},{""@type"":""Organization"",""@id"":""https://wiserank.co.uk/#organization"",""name"":""WiseRank""","Target is orphan; topical overlap on google, search, seo; source does not already link to target.",68,orphan,pending
https://wiserank.co.uk/blog/,https://wiserank.co.uk/best-content-formats-for-aeo-success/,content,ff-Page SEO On-Page SEO Local SEO International SEO Answer Engine Optimization (AEO) WordPress SEO Agency eCommerce SEO Career About Contact Get Free SEO Audit Toggle Menu Blog Updates SEO Audit Sheffield: What’s Included and Why Every Busi,"Target is orphan; topical overlap on aeo, content; source does not already link to target.",56,orphan,pending
https://wiserank.co.uk/what-is-on-page-seo-complete-guide-to-website-boost/,https://wiserank.co.uk/blog/,Blog,"nk.co.uk""],""worksFor"":{""@id"":""https://wiserank.co.uk/#organization""}},{""@type"":""BlogPosting"",""headline"":""What Is On-Page SEO? Complete Guide to Website Optimization"",""keywords"":""On-Page SEO"",""datePublished"":""2025-10-12T21:50:19+00:00"",""date","Target is orphan; topical overlap on blog, wise; source does not already link to target.",56,orphan,pending
